Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      985     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::key_comp() const
  0.00      0.00     0.00      823     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, long> >::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::pair<std::string const, long> > const&)
  0.00      0.00     0.00      823     0.00     0.00  std::_Rb_tree<long, std::pair<long const, std::string>, std::_Select1st<std::pair<long const, std::string> >, std::less<long>, std::allocator<std::pair<long const, std::string> > >::_M_begin()
  0.00      0.00     0.00      822     0.00     0.00  string_split(std::string const&, char, std::vector<std::string, std::allocator<std::string> >&)
  0.00      0.00     0.00      822     0.00     0.00  std::_Rb_tree_iterator<std::pair<long const, std::string> >::operator==(std::_Rb_tree_iterator<std::pair<long const, std::string> > const&) const
  0.00      0.00     0.00      822     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, long> >::operator!=(std::_Rb_tree_const_iterator<std::pair<std::string const, long> > const&) const
  0.00      0.00     0.00      821     0.00     0.00  parser_init(char*)
  0.00      0.00     0.00      821     0.00     0.00  JDocID::generateID(std::string)
  0.00      0.00     0.00      821     0.00     0.00  JgzData::wordFilter(char*, std::vector<std::string, std::allocator<std::string> >&)
  0.00      0.00     0.00      821     0.00     0.00  JWordMap::generateMap(std::vector<std::string, std::allocator<std::string> >&, long)
  0.00      0.00     0.00      821     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, std::string> > >::deallocate(std::_Rb_tree_node<std::pair<long const, std::string> >*, unsigned int)
  0.00      0.00     0.00      821     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, std::string> > >::allocate(unsigned int, void const*)
  0.00      0.00     0.00      821     0.00     0.00  std::_Rb_tree_iterator<std::pair<long const, std::string> >::operator*() const
  0.00      0.00     0.00      821     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, long> >::operator++(int)
  0.00      0.00     0.00      821     0.00     0.00  std::map<std::string, long, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::insert(std::_Rb_tree_iterator<std::pair<std::string const, long> >, std::pair<std::string const, long> const&)
  0.00      0.00     0.00      821     0.00     0.00  std::map<long, std::string, std::less<long>, std::allocator<std::pair<long const, std::string> > >::lower_bound(long const&)
  0.00      0.00     0.00      821     0.00     0.00  std::map<long, std::string, std::less<long>, std::allocator<std::pair<long const, std::string> > >::end()
  0.00      0.00     0.00      821     0.00     0.00  std::map<long, std::string, std::less<long>, std::allocator<std::pair<long const, std::string> > >::insert(std::_Rb_tree_iterator<std::pair<long const, std::string> >, std::pair<long const, std::string> const&)
  0.00      0.00     0.00      821     0.00     0.00  std::map<long, std::string, std::less<long>, std::allocator<std::pair<long const, std::string> > >::operator[](long const&)
  0.00      0.00     0.00      821     0.00     0.00  std::pair<std::string const, long>::pair(std::string const&, long const&)
  0.00      0.00     0.00      821     0.00     0.00  std::pair<long const, std::string>::pair(std::pair<long const, std::string> const&)
  0.00      0.00     0.00      821     0.00     0.00  std::pair<long const, std::string>::pair(long const&, std::string const&)
  0.00      0.00     0.00      821     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::_M_leftmost()
  0.00      0.00     0.00      821     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::insert_unique(std::_Rb_tree_iterator<std::pair<std::string const, long> >, std::pair<std::string const, long> const&)
  0.00      0.00     0.00      821     0.00     0.00  std::_Rb_tree<long, std::pair<long const, std::string>, std::_Select1st<std::pair<long const, std::string> >, std::less<long>, std::allocator<std::pair<long const, std::string> > >::_M_get_node()
  0.00      0.00     0.00      821     0.00     0.00  std::_Rb_tree<long, std::pair<long const, std::string>, std::_Select1st<std::pair<long const, std::string> >, std::less<long>, std::allocator<std::pair<long const, std::string> > >::_M_leftmost()
  0.00      0.00     0.00      821     0.00     0.00  std::_Rb_tree<long, std::pair<long const, std::string>, std::_Select1st<std::pair<long const, std::string> >, std::less<long>, std::allocator<std::pair<long const, std::string> > >::_M_put_node(std::_Rb_tree_node<std::pair<long const, std::string> >*)
  0.00      0.00     0.00      821     0.00     0.00  std::_Rb_tree<long, std::pair<long const, std::string>, std::_Select1st<std::pair<long const, std::string> >, std::less<long>, std::allocator<std::pair<long const, std::string> > >::lower_bound(long const&)
  0.00      0.00     0.00      821     0.00     0.00  std::_Rb_tree<long, std::pair<long const, std::string>, std::_Select1st<std::pair<long const, std::string> >, std::less<long>, std::allocator<std::pair<long const, std::string> > >::destroy_node(std::_Rb_tree_node<std::pair<long const, std::string> >*)
  0.00      0.00     0.00      821     0.00     0.00  std::_Rb_tree<long, std::pair<long const, std::string>, std::_Select1st<std::pair<long const, std::string> >, std::less<long>, std::allocator<std::pair<long const, std::string> > >::insert_unique(std::_Rb_tree_iterator<std::pair<long const, std::string> >, std::pair<long const, std::string> const&)
  0.00      0.00     0.00      821     0.00     0.00  std::_Rb_tree<long, std::pair<long const, std::string>, std::_Select1st<std::pair<long const, std::string> >, std::less<long>, std::allocator<std::pair<long const, std::string> > >::_M_create_node(std::pair<long const, std::string> const&)
  0.00      0.00     0.00      821     0.00     0.00  std::_Rb_tree<long, std::pair<long const, std::string>, std::_Select1st<std::pair<long const, std::string> >, std::less<long>, std::allocator<std::pair<long const, std::string> > >::end()
  0.00      0.00     0.00      821     0.00     0.00  std::_Rb_tree<long, std::pair<long const, std::string>, std::_Select1st<std::pair<long const, std::string> >, std::less<long>, std::allocator<std::pair<long const, std::string> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.00     0.00      821     0.00     0.00  std::_Rb_tree<long, std::pair<long const, std::string>, std::_Select1st<std::pair<long const, std::string> >, std::less<long>, std::allocator<std::pair<long const, std::string> > >::_M_insert(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::pair<long const, std::string> const&)
  0.00      0.00     0.00      821     0.00     0.00  void std::_Construct<std::pair<long const, std::string>, std::pair<long const, std::string> >(std::pair<long const, std::string>*, std::pair<long const, std::string> const&)
  0.00      0.00     0.00      821     0.00     0.00  void std::_Destroy<std::pair<long const, std::string> >(std::pair<long const, std::string>*)
  0.00      0.00     0.00      821     0.00     0.00  parser
  0.00      0.00     0.00      162     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, long> >::operator--()
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, long> > >::~new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        2     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        2     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        2     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, long> > >::new_allocator(__gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, long> > > const&)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, long> > >::new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<long const, std::string> > >::~new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, long> >::new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, long> >::~new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<std::string const, long> > >::allocator<std::pair<std::string const, long> >(std::allocator<std::pair<std::string const, long> > const&)
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<std::string const, long> > >::allocator(std::allocator<std::_Rb_tree_node<std::pair<std::string const, long> > > const&)
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<std::string const, long> > >::~allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<std::pair<std::string const, long> >::allocator()
